jieyi-sushi-chicago-3,Jieyi Sushi,"1178 N Milwaukee Ave, Chicago, IL 60642",64,4.0,sushi,+17732925885,https://www.yelp.com/biz/jieyi-sushi-chicago-3?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
home-team-pizza-chicago,Home Team Pizza,"1363 W Ohio St, Chicago, IL 60642",46,4.5,pizza,+13122918666,https://www.yelp.com/biz/home-team-pizza-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
seadog-sushi-bar-chicago,Seadog Sushi Bar,"1500 W Division St, Chicago, IL 60642",491,4.0,sushi,+17732358100,https://www.yelp.com/biz/seadog-sushi-bar-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
mod-pizza-chicago-6,MOD Pizza,"1000 W North Ave, Chicago, IL 60642",4,5.0,hotdogs,+13125354240,https://www.yelp.com/biz/mod-pizza-chicago-6?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
goose-island-shrimp-house-chicago-chicago,Goose Island Shrimp House Chicago,"1013 W Division St, Chicago, IL 60642",150,4.0,seafood,+13126423640,https://www.yelp.com/biz/goose-island-shrimp-house-chicago-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
sushi-x-chicago,Sushi X,"1136 W Chicago Ave, Chicago, IL 60642",451,4.0,sushi,+13124919232,https://www.yelp.com/biz/sushi-x-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
kendall-college-the-dining-room-chicago,Kendall College - The Dining Room,"900 N North Branch St, Chicago, IL 60642",115,4.5,newamerican,+13127522328,https://www.yelp.com/biz/kendall-college-the-dining-room-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
coalfire-pizza-chicago,Coalfire Pizza,"1321 W Grand Ave, Chicago, IL 60642",979,4.0,pizza,+13122262625,https://www.yelp.com/biz/coalfire-pizza-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
piccolo-sogno-chicago,Piccolo Sogno,"464 N Halsted St, Chicago, IL 60642",996,4.0,italian,+13124210077,https://www.yelp.com/biz/piccolo-sogno-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
habana-libre-restaurant-chicago,Habana Libre Restaurant,"1440 W Chicago Ave, Chicago, IL 60642",427,4.0,cuban,+13122433303,https://www.yelp.com/biz/habana-libre-restaurant-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
bari-chicago,Bari,"1120 W Grand Ave, Chicago, IL 60642",683,4.5,grocery,+13126660730,https://www.yelp.com/biz/bari-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
windy-city-cafe-chicago,Windy City Cafe,"1062 W Chicago Ave, Chicago, IL 60642",266,4.0,breakfast_brunch,+13124928010,https://www.yelp.com/biz/windy-city-cafe-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
uncle-julios-chicago,Uncle Julio's,"855 W North Ave, Chicago, IL 60642",1074,3.0,mexican,+13122664222,https://www.yelp.com/biz/uncle-julios-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
the-aberdeen-tap-chicago-2,The Aberdeen Tap,"440 N Aberdeen St, Chicago, IL 60642",294,4.5,bars,+13129293845,https://www.yelp.com/biz/the-aberdeen-tap-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
sullys-house-chicago,Sully's House,"1501 N Dayton St, Chicago, IL 60642",162,4.0,sportsbars,+17732441234,https://www.yelp.com/biz/sullys-house-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
butterfly-sushi-bar-and-thai-cuisine-chicago-2,Butterfly Sushi Bar & Thai Cuisine,"1139 W Grand Ave, Chicago, IL 60642",965,4.0,thai,+13125635555,https://www.yelp.com/biz/butterfly-sushi-bar-and-thai-cuisine-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
the-silver-palm-chicago,The Silver Palm,"768 N Milwaukee Ave, Chicago, IL 60642",275,3.5,tradamerican,+13126669322,https://www.yelp.com/biz/the-silver-palm-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
kingsbury-street-cafe-chicago,Kingsbury Street Cafe,"1523 N Kingsbury St, Chicago, IL 60642",398,4.0,newamerican,+13122801718,https://www.yelp.com/biz/kingsbury-street-cafe-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
vinnies-sub-shop-chicago,Vinnie's Sub Shop,"1204 W Grand Ave, Chicago, IL 60642",157,4.5,delis,+13127382985,https://www.yelp.com/biz/vinnies-sub-shop-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
thalia-sushi-bistro-and-lounge-chicago,Thalia Sushi Bistro & Lounge,"833 W Chicago Ave, Chicago, IL 60642",352,3.5,sushi,+13122266020,https://www.yelp.com/biz/thalia-sushi-bistro-and-lounge-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
uptons-breakroom-chicago,Upton's Breakroom,"2054 W Grand Ave, Chicago, IL 60612",149,4.5,vegan,+13126667838,https://www.yelp.com/biz/uptons-breakroom-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
lovely-kitchen-and-cafe-chicago,Lovely Kitchen & Cafe,"1130 N Milwaukee Ave, Chicago, IL 60642",385,4.0,coffee,+17735724766,https://www.yelp.com/biz/lovely-kitchen-and-cafe-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
mart-anthonys-chicago,Mart Anthony's,"1200 W Hubbard St, Chicago, IL 60642",300,4.0,italian,+13124214292,https://www.yelp.com/biz/mart-anthonys-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
twisted-spoke-chicago,Twisted Spoke,"501 N Ogden Ave, Chicago, IL 60642",648,3.5,breakfast_brunch,+13126661500,https://www.yelp.com/biz/twisted-spoke-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
tsukiji-fish-market-chicago-5,Tsukiji Fish Market,"1156 W Grand Ave, Chicago, IL 60642",136,4.0,sushi,+13122431112,https://www.yelp.com/biz/tsukiji-fish-market-chicago-5?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
paula-and-monicas-pizzeria-chicago,Paula & Monica's Pizzeria,"1518 W Chicago Ave, Chicago, IL 60642",167,4.0,pizza,+13129293615,https://www.yelp.com/biz/paula-and-monicas-pizzeria-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
local-foods-cafe-chicago-2,Local Foods Cafe,"1427 W Willow, Chicago, IL 60642",13,4.5,newamerican,+13124326575,https://www.yelp.com/biz/local-foods-cafe-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
pie-eyed-pizzeria-chicago,Pie-Eyed Pizzeria,"1111 W Chicago Ave, Chicago, IL 60642",146,3.5,pizza,+13122433735,https://www.yelp.com/biz/pie-eyed-pizzeria-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
joes-on-weed-st-chicago,Joe's On Weed St,"940 W Weed St, Chicago, IL 60642",371,3.0,sportsbars,+13123373486,https://www.yelp.com/biz/joes-on-weed-st-chicago?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
da-pizza-dude-chicago-3,Da Pizza Dude,", Chicago, IL 60642",17,5.0,pizza,+16303986784,https://www.yelp.com/biz/da-pizza-dude-chicago-3?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-No
stanleys-grill-chicago-2,Stanley's Grill,"1543 N Elston Ave, Chicago, IL 60642",36,3.5,tradamerican,+17737720004,https://www.yelp.com/biz/stanleys-grill-chicago-2?adjust_creative=DlHuFNKWksFZEAhV6WQUYQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DlHuFNKWksFZEAhV6WQUYQ,delivery-Yes
