GroupID,DataSource,SourceID,Address,Name,Case#,DateTime,CrimeType,Arrest
1,Crime,2339114,009XX S MICHIGAN AVE,,HH634648,2002-09-08T03:15:00.000,CRIM SEXUAL ASSAULT,False
1,Crime,2751408,009XX S MICHIGAN AVE,,HJ382269,2003-05-21T10:30:00.000,THEFT,False
1,Crime,2760887,009XX S MICHIGAN AVE,,HJ353192,2003-05-09T22:45:00.000,NARCOTICS,True
1,Crime,2761933,009XX S MICHIGAN AVE,,HJ367630,2003-05-16T16:40:00.000,NARCOTICS,True
1,Crime,5482731,009XX S MICHIGAN AVE,,HN305004,2007-04-25T07:50:00.000,DECEPTIVE PRACTICE,False
1,Crime,11223568,009XX S MICHIGAN AVE,,JB142199,2017-07-25T12:00:00.000,DECEPTIVE PRACTICE,False
1,Crime,2520125,009XX S MICHIGAN AVE,,HH865332,2002-12-29T05:29:33.000,THEFT,False
1,Crime,2724578,009XX S MICHIGAN AVE,,HJ357690,2003-05-11T19:00:00.000,CRIMINAL DAMAGE,False
1,Crime,2923816,009XX S MICHIGAN AVE,,HJ603090,2003-09-02T15:48:16.000,BATTERY,False
1,Crime,2964757,009XX S MICHIGAN AVE,,HJ658006,2003-09-27T18:00:00.000,THEFT,False
1,Crime,3134835,009XX S MICHIGAN AVE,,HK122919,2004-01-07T22:10:00.000,DECEPTIVE PRACTICE,False
1,Crime,3243215,009XX S MICHIGAN AVE,,HK266130,2004-03-27T15:15:00.000,BATTERY,False
1,Crime,3397016,009XX S MICHIGAN AVE,,HK452140,2004-06-21T10:00:00.000,DECEPTIVE PRACTICE,False
1,Crime,3413386,009XX S MICHIGAN AVE,,HK474895,2004-07-04T22:20:00.000,CRIMINAL DAMAGE,False
1,Crime,3464897,009XX S MICHIGAN AVE,,HK535364,2004-08-03T20:30:00.000,THEFT,False
1,Crime,3559448,009XX S MICHIGAN AVE,,HK642319,2004-09-23T09:42:49.000,OFFENSE INVOLVING CHILDREN,True
1,Crime,3655088,009XX S MICHIGAN AVE,,HK750251,2004-11-01T17:00:00.000,THEFT,False
1,Crime,3670039,009XX S MICHIGAN AVE,,HK770357,2004-11-01T09:00:00.000,THEFT,False
1,Crime,4223511,009XX S MICHIGAN AVE,,HL468544,2005-07-07T15:05:00.000,NARCOTICS,True
